band1,band2,sid,edf,spearman_corr,spearman_corr_p,plv,plv_p,plv_z,granger_f,granger_f_null
gamma,beta,sub-042,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-042/eeg/sub-042_task-sleep_run-1_eeg.edf,0.36123669657539054,3.6655588055920866e-64,0.3453131580705681,0.0004997501249375312,13.270102696320546,2.2951397801436633,1.0492363492235461
gamma,beta,sub-042,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-042/eeg/sub-042_task-sleep_run-2_eeg.edf,0.17057799158249246,7.106527669666884e-17,0.14431548637416772,0.0004997501249375312,5.7914361554088405,1.6730738192982528,1.0337207785822669
gamma,beta,sub-042,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-042/eeg/sub-042_task-sleep_run-3_eeg.edf,0.40066816712355485,1.0252606277858226e-83,0.39545208954131983,0.0004997501249375312,14.396376953870051,3.202083776193817,1.0563998070115563
gamma,beta,sub-043,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-043/eeg/sub-043_task-sleep_run-1_eeg.edf,0.07924246992857864,1.9783753109410512e-10,0.06490267183095877,0.0004997501249375312,3.656277585231456,1.43667937960231,1.0486956057146017
gamma,beta,sub-044,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-044/eeg/sub-044_task-sleep_run-1_eeg.edf,0.14332528043687662,8.55225473746286e-39,0.11875553922901863,0.0004997501249375312,8.615484981374083,1.4222166291792084,1.0542441126669904
gamma,beta,sub-044,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-044/eeg/sub-044_task-sleep_run-2_eeg.edf,0.11891011545546766,1.5963501214784135e-25,0.08467058947684729,0.0004997501249375312,5.1119847386106905,1.190602984745222,1.059052745434863
gamma,beta,sub-045,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-045/eeg/sub-045_task-sleep_run-1_eeg.edf,0.059091497663665546,1.7584129725322006e-07,0.04746584994849878,0.0034982508745627187,3.103340112067778,1.3720300766363895,1.0622537316132439
gamma,beta,sub-045,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-045/eeg/sub-045_task-sleep_run-2_eeg.edf,0.0771104580835649,2.7673389160363786e-13,0.0686966571338669,0.0004997501249375312,5.7270367505947535,1.3851945306896907,1.0557582430721326
gamma,beta,sub-046,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-046/eeg/sub-046_task-sleep_run-1_eeg.edf,0.14231930568776913,2.973401240209816e-08,0.14190639326518134,0.0009995002498750624,4.466190592367537,1.1234754221947731,1.0373824543196457
gamma,beta,sub-046,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-046/eeg/sub-046_task-sleep_run-2_eeg.edf,0.18865651927914295,1.0115389758342061e-16,0.17486110458874515,0.0004997501249375312,6.295659470205713,1.2629661026860048,1.0575572116493746
gamma,beta,sub-046,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-046/eeg/sub-046_task-sleep_run-3_eeg.edf,0.5632691122839547,1.6136840804728792e-115,0.5714837519836268,0.0004997501249375312,16.60951863869483,1.5101908052474757,1.0510724757272167
gamma,beta,sub-047,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-047/eeg/sub-047_task-sleep_run-1_eeg.edf,0.0757216767548206,2.796395156877802e-11,0.07960187837853623,0.0004997501249375312,5.9142295059401135,1.2250071811177583,1.0638774818413375
gamma,beta,sub-048,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-048/eeg/sub-048_task-sleep_run-1_eeg.edf,0.1391820436657464,3.3540785634946754e-09,0.10668260414965638,0.005997001499250375,3.2580890760921006,1.6499685962100088,1.0528005176549737
gamma,beta,sub-048,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-048/eeg/sub-048_task-sleep_run-2_eeg.edf,0.1775555520637537,1.7474133990168415e-14,0.13727625641961413,0.0004997501249375312,4.12585444956244,1.388942452276466,1.0752896497845101
gamma,beta,sub-048,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-048/eeg/sub-048_task-sleep_run-3_eeg.edf,0.4996512399110802,4.900042173159897e-127,0.4818930908284486,0.0004997501249375312,15.196142870772139,1.1932476374193275,1.0312936164225712
gamma,beta,sub-049,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-049/eeg/sub-049_task-sleep_run-1_eeg.edf,0.08320469345701985,3.0595674946933136e-13,0.07349454426542067,0.0004997501249375312,5.925917358347042,1.403397592984995,1.0484092013501187
gamma,beta,sub-049,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-049/eeg/sub-049_task-sleep_run-2_eeg.edf,0.08574199499006023,9.001606072369791e-14,0.06935592930961804,0.0004997501249375312,5.485907329285133,1.287699258252406,1.0600084671206018
gamma,beta,sub-050,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-050/eeg/sub-050_task-sleep_run-1_eeg.edf,0.11395770673303117,5.1601496378307835e-23,0.08278492362998251,0.0004997501249375312,4.852188504655443,1.4262858595914836,1.0634962601975668
gamma,beta,sub-050,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-050/eeg/sub-050_task-sleep_run-2_eeg.edf,0.05616304653940611,9.510813805602552e-07,0.04748360495504287,0.0029985007496251873,3.393595796221271,1.1324038058946853,1.0536754298515363
gamma,beta,sub-051,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-051/eeg/sub-051_task-sleep_run-1_eeg.edf,0.12526681186927496,1.6554665861258142e-08,0.10439421273018838,0.0009995002498750624,3.7794306752551634,0.712206486499627,1.0548268226779218
gamma,beta,sub-052,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-052/eeg/sub-052_task-sleep_run-1_eeg.edf,0.10812465683739461,1.72036769749966e-19,0.07325407310234369,0.0004997501249375312,5.678639135975156,1.3431626231851643,1.0576192209845268
gamma,beta,sub-052,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-052/eeg/sub-052_task-sleep_run-2_eeg.edf,0.11571381616443147,2.2798191974495574e-24,0.08489994342852657,0.0004997501249375312,6.62692876370064,1.7534189288779558,1.056465823148779
gamma,beta,sub-053,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-053/eeg/sub-053_task-sleep_run-1_eeg.edf,0.1390587124824799,5.411686530561016e-32,0.10420886143890938,0.0004997501249375312,8.069482431910172,1.610819675071021,1.0526331500741921
gamma,beta,sub-053,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-053/eeg/sub-053_task-sleep_run-2_eeg.edf,0.10900318943543895,1.3788907893098908e-18,0.08667730663965821,0.0004997501249375312,5.71906431559223,1.4251529609373061,1.0637902046419652
gamma,beta,sub-054,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-054/eeg/sub-054_task-sleep_run-1_eeg.edf,0.12527122688330522,1.8083625663710813e-30,0.1113153588680464,0.0004997501249375312,7.298427114577274,1.6688267579220257,1.0570153721129065
gamma,beta,sub-054,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-054/eeg/sub-054_task-sleep_run-2_eeg.edf,0.18286314629333453,6.270768282656899e-60,0.16406848383624426,0.0004997501249375312,11.03879694818484,1.5647053919279936,1.0658570656942217
gamma,beta,sub-055,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-055/eeg/sub-055_task-sleep_run-1_eeg.edf,0.09339404081253168,2.187167703995097e-15,0.0657215110852602,0.0004997501249375312,3.989223925631337,1.4115867670229594,1.0564698416203215
gamma,beta,sub-055,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-055/eeg/sub-055_task-sleep_run-2_eeg.edf,0.09178454094380518,1.194113156177534e-15,0.06802233024448519,0.0004997501249375312,3.9876332047539598,1.5456548188766412,1.0607096580550066
gamma,beta,sub-056,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-056/eeg/sub-056_task-sleep_run-1_eeg.edf,0.11797930096479635,2.479058363058774e-23,0.10345899542557516,0.0004997501249375312,7.122526581479724,1.4246171596738924,1.074127590988887
gamma,beta,sub-057,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-057/eeg/sub-057_task-sleep_run-1_eeg.edf,0.06863323282289782,9.001602183325123e-10,0.08510528424558486,0.0004997501249375312,4.453991817273171,1.345751299960881,1.0567171601435104
gamma,beta,sub-058,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-058/eeg/sub-058_task-sleep_run-1_eeg.edf,0.10828451161253942,6.366937693375611e-20,0.08295090860663502,0.0004997501249375312,6.182652493900136,1.5071635265655574,1.0617095375474317
gamma,beta,sub-058,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-058/eeg/sub-058_task-sleep_run-2_eeg.edf,0.12833893035023672,1.820644346320655e-30,0.11009359710010617,0.0004997501249375312,9.77761676601063,1.4919483521915546,1.0598555899685844
gamma,beta,sub-059,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-059/eeg/sub-059_task-sleep_run-1_eeg.edf,0.32885074799979697,4.932619849310603e-181,0.23078618780868512,0.0004997501249375312,12.938910790820328,1.4661300959206633,1.0570584713953526
gamma,beta,sub-060,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-060/eeg/sub-060_task-sleep_run-1_eeg.edf,0.18850153983211504,1.1378430142617814e-14,0.15921058537761743,0.0004997501249375312,4.956581019500438,1.0492935107239552,1.0619769111884447
gamma,beta,sub-061,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-061/eeg/sub-061_task-sleep_run-1_eeg.edf,0.07174969600144974,2.0582967842718485e-10,0.06899505687257798,0.0004997501249375312,4.821711464350734,1.5750086740763054,1.0648582422599862
gamma,beta,sub-062,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-062/eeg/sub-062_task-sleep_run-1_eeg.edf,0.03326886270452698,0.0024407687489059198,0.035762679591705974,0.0399800099950025,1.937072077114537,1.3615932486615405,1.0653571742560735
gamma,beta,sub-063,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-063/eeg/sub-063_task-sleep_run-1_eeg.edf,0.116916459101201,6.75737864029719e-24,0.11201722456202591,0.0004997501249375312,10.053356354204594,1.395853488432584,1.0614010895354575
gamma,beta,sub-064,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-064/eeg/sub-064_task-sleep_run-1_eeg.edf,0.034426864508880814,0.0015561852671091146,0.04181855996884356,0.04147926036981509,2.0200604780414064,1.5286376792896605,1.0574796393464967
gamma,beta,sub-065,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-065/eeg/sub-065_task-sleep_run-1_eeg.edf,0.13178596990919675,8.336132234206052e-34,0.09934130009762437,0.0004997501249375312,8.544639138728856,1.435149952537431,1.058646347320801
gamma,beta,sub-066,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-066/eeg/sub-066_task-sleep_run-1_eeg.edf,0.11873892076031244,5.631117319077631e-24,0.1272530743669416,0.0004997501249375312,8.650038369192359,1.3208010364195515,1.058643669039477
gamma,beta,sub-067,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-067/eeg/sub-067_task-sleep_run-1_eeg.edf,0.09947051606515041,1.838020224248105e-20,0.0736560345923995,0.0004997501249375312,6.65645793938224,1.407812379149539,1.0471452341594436
gamma,beta,sub-068,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-068/eeg/sub-068_task-sleep_run-1_eeg.edf,0.23984390015094767,1.0187417347283433e-102,0.22795617602922275,0.0004997501249375312,17.573131916294056,1.5537995674436356,1.0587531893794997
gamma,beta,sub-069,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-069/eeg/sub-069_task-sleep_run-1_eeg.edf,0.05322139288468835,2.1731078841352667e-06,0.0487604315669918,0.005497251374312844,2.975220317364712,1.35190076827097,1.0653564994019264
gamma,beta,sub-070,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-070/eeg/sub-070_task-sleep_run-1_eeg.edf,0.7711685416673628,0.0,0.6963225026865448,0.0004997501249375312,37.461655528354,1.4484843459613992,1.0707041535351447
gamma,beta,sub-070,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-070/eeg/sub-070_task-sleep_run-2_eeg.edf,0.7765801142819659,2.763870881159001e-256,0.6965864810164116,0.0004997501249375312,23.65657310264164,1.6730620015771354,1.075527767269453
gamma,beta,sub-071,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-071/eeg/sub-071_task-sleep_run-1_eeg.edf,0.5399395524068403,1.3700636675254307e-229,0.48558186010564014,0.0004997501249375312,24.657834391347986,2.122017087949612,1.0548189765244904
gamma,beta,sub-071,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-071/eeg/sub-071_task-sleep_run-2_eeg.edf,0.5932925152781434,1.1956551195958321e-95,0.4733276568048953,0.0004997501249375312,14.491767751408759,1.6072288637891496,1.0619389390154068
gamma,beta,sub-072,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-072/eeg/sub-072_task-sleep_run-1_eeg.edf,0.6143575872966194,0.0,0.5762340703238416,0.0004997501249375312,28.60898937629841,2.1283659151219254,1.0552732176047506
gamma,beta,sub-072,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-072/eeg/sub-072_task-sleep_run-2_eeg.edf,0.4142729146622851,2.785878934859742e-30,0.36312223945101446,0.0004997501249375312,9.000802524678866,1.4067397208438466,1.0921906476185017
gamma,beta,sub-073,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-073/eeg/sub-073_task-sleep_run-1_eeg.edf,0.41785077795579045,2.9071085520920707e-48,0.36381112599407384,0.0004997501249375312,12.206909231160248,0.9681583855310908,1.1077543396681497
gamma,beta,sub-073,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-073/eeg/sub-073_task-sleep_run-2_eeg.edf,0.6319499373960755,0.0,0.5904468889030823,0.0004997501249375312,28.584295292657092,1.9968281276353061,1.0674482721826195
gamma,beta,sub-074,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-074/eeg/sub-074_task-sleep_run-1_eeg.edf,0.5611986360111038,5.185154363378935e-252,0.5675807182946704,0.0004997501249375312,29.641952842689427,2.734629534113702,1.0644473292519554
gamma,beta,sub-074,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-074/eeg/sub-074_task-sleep_run-2_eeg.edf,0.478610559973431,2.419029109697112e-90,0.4436648980550313,0.0004997501249375312,16.232202932837698,1.8775640437377328,1.0523337963652495
gamma,beta,sub-075,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-075/eeg/sub-075_task-sleep_run-1_eeg.edf,0.5899816835919754,1.3898872496206573e-139,0.5273287250763897,0.0004997501249375312,17.757510528961785,1.520416157373312,1.062956493767105
gamma,beta,sub-075,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-075/eeg/sub-075_task-sleep_run-2_eeg.edf,0.7426164803880181,0.0,0.7341901034562414,0.0004997501249375312,28.27399999723923,4.84255421639936,1.0405624459857117
gamma,beta,sub-076,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-076/eeg/sub-076_task-sleep_run-1_eeg.edf,0.6148363462245221,0.0,0.5814069956828535,0.0004997501249375312,27.215787052909572,1.5824170101372572,1.059178530075698
gamma,beta,sub-076,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-076/eeg/sub-076_task-sleep_run-2_eeg.edf,0.576351222413975,7.743867547767117e-119,0.5328235043047517,0.0004997501249375312,17.32054104210861,1.1908039007020903,1.053886059141189
gamma,beta,sub-077,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-077/eeg/sub-077_task-sleep_run-1_eeg.edf,0.4921472573337415,2.0403690104075096e-200,0.47891162637562257,0.0004997501249375312,25.434019062474135,1.7591501325379681,1.0552779914467199
gamma,beta,sub-077,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-077/eeg/sub-077_task-sleep_run-2_eeg.edf,0.46960387618138416,3.951612443098631e-92,0.4347136643080216,0.0004997501249375312,17.218671357337687,1.1136751151414743,1.070214904959911
gamma,beta,sub-078,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-078/eeg/sub-078_task-sleep_run-1_eeg.edf,0.6678545545617212,5.861196893613607e-137,0.59200765683481,0.0004997501249375312,18.009680705878047,1.9304023681063989,1.07299132146493
gamma,beta,sub-078,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-078/eeg/sub-078_task-sleep_run-2_eeg.edf,0.6463463586460354,0.0,0.6209189863057153,0.0004997501249375312,29.916388181468257,2.5690395515767768,1.0482213275331262
gamma,beta,sub-079,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-079/eeg/sub-079_task-sleep_run-1_eeg.edf,0.6550497517293259,0.0,0.6221597539605713,0.0004997501249375312,28.031622395989977,2.0357938731826892,1.0776487185648185
gamma,beta,sub-079,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-079/eeg/sub-079_task-sleep_run-2_eeg.edf,0.4740497234831826,2.4460006703735753e-42,0.4261189983647332,0.0004997501249375312,11.222239909141159,1.5199498879935207,1.1124062359470894
gamma,beta,sub-080,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-080/eeg/sub-080_task-sleep_run-1_eeg.edf,0.7119850404830464,1.3354387850672516e-210,0.6425548628091409,0.0004997501249375312,20.086496987451,1.4736894973163073,1.0485813059609053
gamma,beta,sub-080,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-080/eeg/sub-080_task-sleep_run-2_eeg.edf,0.7510998138077226,0.0,0.7136183728666216,0.0004997501249375312,36.234114060876685,4.158425023294033,1.0356860372727918
gamma,beta,sub-081,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-081/eeg/sub-081_task-sleep_run-1_eeg.edf,0.6244474332510948,1.7281486970663094e-56,0.5718971827220148,0.0004997501249375312,10.570872467159301,1.9980657240272615,1.062208021416545
gamma,beta,sub-081,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-081/eeg/sub-081_task-sleep_run-2_eeg.edf,0.5209758716185019,9.879863745193597e-227,0.4986130909444201,0.0004997501249375312,26.119337331691803,2.4176825085096514,1.0464292013129954
gamma,beta,sub-082,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-082/eeg/sub-082_task-sleep_run-1_eeg.edf,0.5604219241756169,2.9436853485044617e-62,0.5035069838727891,0.0004997501249375312,13.461446003054098,1.7787274799951902,1.0703560711079507
gamma,beta,sub-082,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-082/eeg/sub-082_task-sleep_run-2_eeg.edf,0.5460557962782725,5.786362408205915e-244,0.5168149026069194,0.0004997501249375312,26.698693058949484,2.558110479339586,1.0431671193514005
gamma,beta,sub-083,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-1_eeg.edf,0.7582897132588501,0.0,0.6944675391560737,0.0004997501249375312,29.13625272695709,1.9911831821029038,1.0669737411396059
gamma,beta,sub-083,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-2_eeg.edf,0.7575861104908576,8.8867003482527e-311,0.6962968478922994,0.0004997501249375312,21.901750262581896,3.0015558162636795,1.048657414823142
gamma,beta,sub-084,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-1_eeg.edf,0.8025577027044503,0.0,0.6915462435224391,0.0004997501249375312,15.525861825030724,1.9445235382969852,1.0668616557602322
gamma,beta,sub-084,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-2_eeg.edf,0.5954316758112633,9.879037485058493e-280,0.5484446003970104,0.0004997501249375312,24.854244156495383,1.8143146178421226,1.0500124408304337
gamma,beta,sub-085,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-085/eeg/sub-085_task-sleep_run-1_eeg.edf,0.8266501918080023,0.0,0.8161240404936075,0.0004997501249375312,16.158965032799795,2.9023725195410663,1.0527115948206056
